Composition,σ (GPa),H_V (GPa),H_V/σ,Investigators
Zr52.5Ni14.6Al10Cu17.9Ti5,1.8,5.15,2.86,Present results
(Co0.942Fe0.058)69Nb3B22.4Si5.6,3.32,9.82,2.96,
Zr55Cu30Al10Ni5,1.8,5,2.78,Keryvin
Pd40Ni40P20,1.78,5.6,3.15,
Fe41Co7Cr15Mo14C15B6Y2,3.5,13.45,3.84,Keryvin et al.
Fe74Ni9Cr4Si3B10,2.93,9.16,3.13,Lee et al.
Fe66Ni7Zr6Cr8Si3B10,2,8.31,4.16,
Fe63Ni7Zr6Cr8W3Si3B10,2.73,9.1,3.33,
Zr53Cu30Ni9Al8,2.05,5.22,2.55,Jang et al.
(Zr53Cu30Ni9Al8)99.75Si0.25,2.05,5.54,2.7,
(Zr53Cu30Ni9Al8)99.5Si0.5,1.82,5.64,3.1,
(Zr53Cu30Ni9Al8)99.25Si0.75,2.1,5.67,2.7,
(Zr53Cu30Ni9Al8)99Si,1.75,5.82,3.33,
Zr41.2Ti13.8Cu12.5Ni10Be22.5,1.95,5.95,3.06,Jun et al.
Zr-400°C×5min,1.97,6.1,3.1,
Zr-400°C×10min,1.9,6.12,3.23,
Zr-400°C×20min,1.83,6.14,3.36,
Zr-400°C×30min,1.06,6.65,6.3,
Zr41.2Ti13.8Cu12.5Ni10Be22.5,1.9,5.34,2.81,Raghavan et al.
Ti31.4Zr36.6Nb7Cu5.9Be19,1.2,4.5,3.74,Narayan et al.
Ti43Zr25Nb7Cu6Be19,1.16,4.2,3.61,
Ti25Zr43Nb7Cu6Be19,1.07,4.1,3.83,
Zr41Ti14Cu12.5Be22.5Ni10,1.84,5.88,3.2,Eckert et al.
Cu46Zr47Al7,1.99,5.8,2.91,Fan et al.
Cu46Zr47Al7+CuZr+Cu10Zr,1.92,5.7,2.97,
Cu46Zr47Al7+CuZr+Cu10Zr7,1.07,5.4,5.05,
CuZr+Zr2Cu,1.03,3.9,3.79,
[(Fe0.9Co0.1)0.75B0.2Si0.05]96Nb4,3.9,11.5,2.95,Inoue et al.
[(Fe0.8Co0.2)0.75B0.2Si0.05]96Nb4,4.17,12.25,2.94,
[(Fe0.7Co0.3)0.75B0.2Si0.05]96Nb4,4.2,12.45,2.96,
[(Fe0.6Co0.4)0.75B0.2Si0.05]96Nb4,4.25,12.5,2.94,
[(Fe0.5Co0.5)0.75B0.2Si0.05]96Nb4,4.21,12.2,2.9,
[(Fe0.8Co0.1Ni0.1)0.75B0.2Si0.05]96Nb4,4.23,12.3,2.91,
[(Fe0.6Co0.1Ni0.3)0.75B0.2Si0.05]96Nb4,4.07,11.7,2.87,
[(Fe0.6Co0.2Ni0.2)0.75B0.2Si0.05]96Nb4,4.16,12.1,2.91,
[(Fe0.6Co0.3Ni0.1)0.75B0.2Si0.05]96Nb4,4.2,12.4,2.95,
Co43.5Fe20Ta5.5B31.5,5.19,14.55,2.81,
(Co0.535Fe0.1Ta0.055B0.31)98Mo2,5.55,16.93,3.05,
[(Co0.535Fe0.1Ta0.055B0.31)98Mo0.02]99Si,4.92,14.5,2.95,
[(Co0.535Fe0.1Ta0.055B0.31)98Mo0.02]98Si2,4.45,13.14,2.95,
(Fe0.75B0.2Si0.05)96Nb4,3.4,10.7,3.15,Inoue et al.
[(Fe0.9Co0.1)0.75B0.2Si0.05]96Nb4,3.9,11.5,2.95,
[(Fe0.8Co0.2)0.75B0.2Si0.05]96Nb4,4.17,12.25,2.94,
[(Fe0.7Co0.3)0.75B0.2Si0.05]96Nb4,4.2,12.45,2.96,
[(Fe0.6Co0.4)0.75B0.2Si0.05]96Nb4,4.25,12.5,2.94,
[(Fe0.5Co0.5)0.75B0.2Si0.05]96Nb4,4.21,12.5,2.97,
Mg65Cu7.5Ni7.5Zn5Ag5Y10,0.85,2.35,2.76,Pan et al.
Zr59Cu20Al10Ni8Ti3,1.71,4.69,2.74,
Cu60Zr30Ti10,2.01,5.78,2.88,
Fe65.5Cr4Mo4Ga4P12C5B5.5,2.84,8.67,3.05,
