Composition,σy (MPa),σUTS (MPa),HV (MPa),HV/σy,HV/σUTS
Annealed Cu,80.71,223.43,545.86,6.76,2.44
Cold rolled Cu,250.03,271.28,925.81,3.70,3.41
Cu ECAP-1p,344.67,350.85,1194.18,3.46,3.40
Cu ECAP-2p,381.20,391.50,1253.34,3.29,3.20
Cu ECAP-3p,387.67,398.54,1263.19,3.26,3.17
Cu ECAP-4p,402.27,415.02,1329.86,3.31,3.20
Cu10%Zn ECAP-1p,375.87,389.97,1421.58,3.78,3.65
Cu10%Zn ECAP-2p,478.00,498.45,1565.72,3.28,3.14
Cu10%Zn ECAP-3p,531.70,546.43,1644.73,3.09,3.01
Cu10%Zn ECAP-4p,539.60,569.13,1691.32,3.13,2.97
Cu10%Zn HPT-1t,735.67,803.44,2046.80,2.78,2.55
Cu10%Zn HPT-5t,708.88,831.62,2105.72,2.97,2.53
Cu10%Zn HPT-10t,675.75,821.04,2130.74,3.15,2.60
Annealed Cu32%Zn,63.59,257.64,522.73,8.22,2.03
Cold rolled Cu32%Zn,374.35,422.86,1458.44,3.90,3.45
Cu32%Zn ECAP-1p,517.80,551.73,1847.54,3.57,3.35
Cu32%Zn ECAP-2p,648.90,685.27,2038.63,3.14,2.97
Cu32%Zn ECAP-3p,703.03,749.39,2038.31,2.90,2.72
Cu32%Zn ECAP-4p,734.63,768.27,2224.11,3.03,2.89
Cu32%Zn HPT-1t,918.31,1009.25,2415.99,2.63,2.39
Cu32%Zn HPT-5t,894.75,1035.44,2469.13,2.76,2.38
Cu32%Zn HPT-10t,968.76,1083.82,2500.69,2.58,2.31
